,station,lat,lon,tmax_mean,tmax_max,tmax>25
0,54157,43.11,124.2,284.96273554672166,311.8916098022461,2735
1,54213,42.57,119.02,285.1270468359533,312.0831377563477,2842
2,54218,42.160000000000004,118.58,285.3720737542697,311.85363378906254,2834
3,54226,42.2,120.42,286.18735014099957,311.8580079345703,3111
4,54236,42.25,122.32000000000001,286.31424747733155,310.3440821228027,3129
5,54237,42.02,121.39,286.8022763135602,311.97490216064455,3358
6,54243,42.45,124.08,285.18240017697406,310.48383572387695,2637
7,54254,42.32,124.03,285.26030979356926,309.9825513916016,2611
8,54259,42.06,124.57000000000001,284.78730801505867,309.17006921386724,2311
9,54260,42.54,125.08,284.2852777623787,309.7428804321289,2192
10,54266,42.32,125.38000000000001,284.04271554639195,308.87637866210935,2025
11,54324,41.33,120.27,286.6949028155964,310.6099550170899,2984
12,54326,41.230000000000004,119.42,286.5150245585579,311.8718178100586,2967
13,54333,41.59,122.48,286.4555051695124,308.60801669311525,2845
14,54334,41.31,121.14,287.1023318719613,310.1359081115723,3176
15,54335,41.410000000000004,122.01,286.77604796271146,308.7703624572754,2976
16,54337,41.08,121.07000000000001,287.1875450121216,309.9613664550782,3115
17,54339,41.07,122.55,286.5288322590588,307.70531494140624,2636
18,54342,41.46,123.26,286.0184631113029,308.4075661010742,2521
19,54346,41.19,123.47,285.95282870438626,308.15848287963865,2360
20,54349,41.18,124.17,285.3751597477511,307.51259936523434,2145
21,54351,41.54,124.03,285.4330076439055,308.1077911987304,2279
22,54353,41.44,125.03,284.4726155631659,308.7112338867188,2005
23,54365,41.160000000000004,125.21000000000001,284.3577537537457,308.7202338867188,1901
24,54436,40.24,118.53,287.04605746687565,309.53363525390625,2799
25,54449,39.51,119.37,286.8459615066171,303.351155456543,1955
26,54452,40.480000000000004,119.49000000000001,286.7993857206422,308.7494351806641,2630
27,54454,40.21,120.21000000000001,287.05507123295286,306.35767776489257,2514
28,54455,40.37,120.44,287.1151100795687,307.06920425415035,2647
29,54470,40.59,122.04,286.9757654752419,306.5168266296387,2420
30,54471,40.4,122.12,286.986775839264,305.8667987060546,2221
31,54472,40.53,122.43,286.7614173661388,305.4900819702149,2183
32,54476,40.1,122.09,286.9375498382429,304.69031219482423,1933
33,54486,40.17,123.17,286.4308672412964,303.9130460510254,1423
34,54493,40.43,124.47,285.29661512012683,304.6991795654297,1290
35,54497,40.03,124.2,285.6856617013034,303.3805963134766,895
36,54539,39.25,118.54,287.11196043796855,303.67825500488277,2079
37,54563,39.44,121.45,286.7017006605546,303.0975183105469,1514
38,54579,39.160000000000004,122.35000000000001,286.5595473406137,301.44776733398436,828
39,54584,39.410000000000004,123.02,286.63352005637535,301.450489440918,802
40,54660,38.51,121.14,287.1559316539598,303.0684952392578,1451
41,54662,38.54,121.38,287.1069346795441,302.8596922607422,1356
